,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
78,78,<_io.TextIOWrapper name='corpus/carter/carter_speeches_005.txt' mode='rt' encoding='cp1252'>,3528,177,20.514124293785308,1.5634920634920637,53.741735270379344,10.859714823782618,4,0,4,0,6,0,9.0,carter,9.0,1977
79,79,<_io.TextIOWrapper name='corpus/carter/carter_speeches_006.txt' mode='rt' encoding='cp1252'>,4875,307,16.778501628664493,1.5727179487179488,56.7528823853671,9.511687430050953,22,5,17,0,8,0,9.0,carter,9.0,1977
80,80,<_io.TextIOWrapper name='corpus/carter/carter_speeches_007.txt' mode='rt' encoding='cp1252'>,2664,166,16.716867469879514,1.4981231231231231,63.12616330185611,8.607431166105865,0,0,0,2,0,0,9.0,carter,9.0,1977
81,81,<_io.TextIOWrapper name='corpus/carter/carter_speeches_008.txt' mode='rt' encoding='cp1252'>,3189,164,20.054878048780488,1.6026967701473815,50.89115202601934,11.143224326763496,10,1,9,1,9,0,9.0,carter,9.0,1977
82,82,<_io.TextIOWrapper name='corpus/carter/carter_speeches_009.txt' mode='rt' encoding='cp1252'>,2498,127,20.283464566929133,1.567654123298639,53.6237446335021,10.818869836026304,2,0,2,0,1,0,9.0,carter,9.0,1977
83,83,<_io.TextIOWrapper name='corpus/carter/carter_speeches_010.txt' mode='rt' encoding='cp1252'>,701,36,19.88888888888889,1.5905848787446506,52.08429703598034,10.935568235853543,1,0,1,0,2,0,9.0,carter,9.0,1977
84,84,<_io.TextIOWrapper name='corpus/carter/carter_speeches_011.txt' mode='rt' encoding='cp1252'>,763,36,21.75,1.6120576671035387,48.378671363040674,11.914780471821759,0,0,0,0,0,0,9.0,carter,9.0,1978
85,85,<_io.TextIOWrapper name='corpus/carter/carter_speeches_012.txt' mode='rt' encoding='cp1252'>,4633,255,19.15686274509804,1.5745737103388733,54.18184841905681,10.461146252586943,9,1,8,1,3,0,9.0,carter,9.0,1978
86,86,<_io.TextIOWrapper name='corpus/carter/carter_speeches_013.txt' mode='rt' encoding='cp1252'>,3266,190,18.173684210526318,1.5872627066748315,54.10628554162506,10.227436780868274,2,0,2,2,1,0,9.0,carter,9.0,1978
87,87,<_io.TextIOWrapper name='corpus/carter/carter_speeches_014.txt' mode='rt' encoding='cp1252'>,927,38,24.815789473684212,1.703344120819849,37.54406106285131,14.18761852041106,1,0,1,0,0,0,9.0,carter,9.0,1978
88,88,<_io.TextIOWrapper name='corpus/carter/carter_speeches_015.txt' mode='rt' encoding='cp1252'>,3309,161,21.534161490683232,1.6201269265639169,47.91508809964918,11.925820714820675,2,1,1,3,4,0,9.0,carter,9.0,1979
89,89,<_io.TextIOWrapper name='corpus/carter/carter_speeches_016.txt' mode='rt' encoding='cp1252'>,3629,211,17.829383886255926,1.5183246073298429,60.287913575345534,9.27969008213196,9,4,5,1,2,0,9.0,carter,9.0,1979
90,90,<_io.TextIOWrapper name='corpus/carter/carter_speeches_017.txt' mode='rt' encoding='cp1252'>,3449,168,21.511904761904763,1.6126413453174833,48.5709588528076,11.82881073188916,2,1,1,1,4,0,9.0,carter,10.0,1980
