,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period
274,<_io.TextIOWrapper name='corpus/grant/grant_speeches_020.txt' mode='rt' encoding='cp1252'>,465,12,38.5,1.7139784946236558,22.754919354838762,19.649946236559142,1,0,1,0,0,0,8.0,grant,4.0
275,<_io.TextIOWrapper name='corpus/grant/grant_speeches_021.txt' mode='rt' encoding='cp1252'>,1490,42,35.976190476190474,1.6080536912751677,34.27782438478752,17.415747842761267,1,0,1,1,0,0,8.0,grant,4.0
276,<_io.TextIOWrapper name='corpus/grant/grant_speeches_022.txt' mode='rt' encoding='cp1252'>,10021,300,34.39333333333333,1.6689951102684364,30.728780337956977,17.51754230116755,26,10,16,2,9,0,8.0,grant,4.0
277,<_io.TextIOWrapper name='corpus/grant/grant_speeches_023.txt' mode='rt' encoding='cp1252'>,1078,29,37.55172413793103,1.5769944341372912,35.30627087198519,17.66370673661314,0,0,0,2,0,0,8.0,grant,4.0
278,<_io.TextIOWrapper name='corpus/grant/grant_speeches_024.txt' mode='rt' encoding='cp1252'>,415,13,32.07692307692308,1.6385542168674698,35.65523632993515,16.254939759036148,0,0,0,0,0,0,8.0,grant,4.0
279,<_io.TextIOWrapper name='corpus/grant/grant_speeches_025.txt' mode='rt' encoding='cp1252'>,4884,137,36.277372262773724,1.6115888615888616,33.673049462867,17.57492374923032,36,2,34,4,12,1,8.0,grant,4.0
280,<_io.TextIOWrapper name='corpus/grant/grant_speeches_026.txt' mode='rt' encoding='cp1252'>,9779,298,33.80536912751678,1.6706207178648123,31.18803760420738,17.307418430536327,26,1,25,3,6,0,8.0,grant,4.0
281,<_io.TextIOWrapper name='corpus/grant/grant_speeches_027.txt' mode='rt' encoding='cp1252'>,2777,79,35.67088607594937,1.6885127835794023,27.78086914209399,18.2460964158572,71,0,71,0,0,0,8.0,grant,4.0
282,<_io.TextIOWrapper name='corpus/grant/grant_speeches_028.txt' mode='rt' encoding='cp1252'>,309,13,23.692307692307693,1.6634304207119741,42.06109410007471,13.278478964401298,3,0,3,1,0,2,8.0,grant,4.0
283,<_io.TextIOWrapper name='corpus/grant/grant_speeches_029.txt' mode='rt' encoding='cp1252'>,12204,361,34.797783933518005,1.66265158964274,30.854924823703413,17.600424491856355,18,7,11,7,6,1,8.0,grant,4.0
